ID,Code,Description
69e75c81-53bb-4a51-b4aa-ebd03d88ef50,AP,Andhra Pradesh
25ac458d-1b27-4fae-a476-7e5efee50d2e,AR,Arunachal Pradesh
8270d971-0415-4c67-b2c6-1b5132b9665f,AS,Assam
a567f465-52ab-4b37-8c54-d0a7c415da6f,BR,Bihar
21d064e4-839d-4b0d-b1b0-5e0ab07d5693,CG,Chhattisgarh
6a625f02-2fb1-4180-a08e-fb063e319d88,GA,Goa
cbfd7f17-f10a-4826-b8ad-43d9b7d9e24a,GJ,Gujarat
8f1a9ae4-9ac5-4b8a-99eb-20d1600b8556,HR,Haryana
dcfc44d6-dce4-4c39-9c7a-7cf3626a5ba0,HP,Himachal Pradesh
537bb5d8-d85b-4207-831d-14e7cb8f29f1,JH,Jharkhand
36b12954-6f2c-47b3-9299-dde8fb1501e1,KA,Karnataka
07a8e9b8-7038-429a-8803-18459fd6ef05,KL,Kerala
915e8cb7-f951-41c3-bd9c-123bc0e60a07,MP,Madhya Pradesh
c458f19e-af80-4c11-8fb5-62de7e20e7d0,MH,Maharashtra
c34b1954-73a5-4472-a21f-015dd918bb68,MN,Manipur
78e6b65d-1d08-4434-aa91-7fb6f7394e3d,ML,Meghalaya
017f7c2e-d9c5-4ff0-a0c0-684f9dc11024,MZ,Mizoram
c396c8b2-2e9d-4d3a-aae7-65ee9a5c5b5b,NL,Nagaland
d1a55fc5-9140-4f13-9f17-094fd2e9b3d2,OD,Odisha
93b4a64a-3ab4-47a0-8f59-b5b76d3ff750,PB,Punjab
1b7788f8-bc8a-4e4e-b1a2-863e6d3de775,RJ,Rajasthan
a9e8c2c3-1464-4e92-9fd1-61d866cf7db1,SK,Sikkim
303f8d99-318e-4f3b-a568-36de4be79dbf,TN,Tamil Nadu
00a0a11d-e9ac-42b7-88bb-81a1f16c2f9f,TG,Telangana
0ff6671d-9ef6-41c6-944b-7a3ff85e5470,TR,Tripura
45412746-41b8-4d6e-b65e-cb6b64de08bc,UP,Uttar Pradesh
ac3b0d85-66b5-46a7-b1f4-51aa61d4de1f,UK,Uttarakhand
ee7bf571-1dd8-4299-9915-45ccff76c2e9,WB,West Bengal
